,count,word
0,321,россии
1,163,фото
2,102,марта
3,97,украине
4,95,которые
5,91,ранее
6,89,сша
7,88,украины
8,85,года
9,80,заявил
10,76,февраля
11,71,компании
12,71,словам
13,70,кошко
14,67,новости
15,67,страны
16,67,риа
17,66,время
18,66,году
19,66,владимир
20,65,российских
21,64,решение
22,63,reuters
23,63,который
24,62,будут
25,59,президент
26,58,против
27,58,однако
28,54,операции
29,53,могут
30,49,глава
31,47,нато
32,44,санкции
33,43,сообщает
34,43,территории
35,41,кроме
36,40,связи
37,39,тасс
38,39,очень
39,39,российские
40,39,российской
41,39,apple
42,39,военной
43,38,сообщил
44,38,путин
45,37,работать
46,37,безопасности
47,36,стран
48,36,россия
49,36,спецоперации
50,35,специальной
51,34,стороны
52,34,процентов
53,34,mastercard
54,33,фильм
55,33,донбассе
56,33,лет
57,32,visa
58,32,россию
59,32,объявил
60,31,россией
61,31,ссылкой
62,31,карты
63,31,ситуации
64,31,других
65,31,российского
66,30,своих
67,29,которая
68,29,которых
69,29,компания
70,28,начала
71,28,работы
72,27,законе
73,27,числе
74,27,иностранных
75,27,зеленский
76,27,именно
77,27,власти
78,27,кадр
79,27,neuralink
80,27,мид
81,26,отмечается
82,26,своей
83,26,пока
84,25,долларов
85,25,стало
86,25,фоне
87,25,гаев
88,24,год
89,24,является
90,24,несколько
91,24,таро
92,23,рублей
93,23,нужно
94,23,организации
95,23,украину
96,23,ответ
97,22,эта
98,22,части
99,22,например
100,22,свои
101,22,санкций
102,22,этим
103,22,случае
104,22,момент
105,21,которой
106,21,около
107,21,представитель
108,21,отметил
109,21,пишет
110,21,людей
111,21,лентыру
112,21,проведении
113,21,рассказал
114,21,тысяч
115,21,назвал
116,21,российский
117,20,отношении
118,20,стали
119,20,системы
120,20,первый
121,20,частности
122,20,защите
123,20,решил
124,20,котором
125,20,принял
126,20,обратился
127,20,другие
128,19,одной
129,19,своего
130,19,ес
131,19,среди
132,19,говорится
133,19,человек
134,19,свой
135,19,российским
136,18,переговоры
137,18,новые
138,18,шольц
139,18,переговоров
140,18,европе
141,18,мнению
142,18,русских
143,18,мир
144,18,рф
145,18,лишь
146,18,многие
147,18,вскоре
148,18,президента
149,18,вопрос
150,18,стране
151,18,германии
152,17,заявила
153,17,дмитрий
154,17,образом
155,17,шакро
156,17,день
157,17,данные
158,17,создать
159,17,нам
160,17,таким
161,17,некоторые
162,17,мире
163,17,стал
164,17,событий
165,17,государства
166,17,данным
167,16,угрозу
168,16,роберт
169,16,pixabay
170,16,которого
171,16,альянса
172,16,самолетов
173,16,принято
174,16,думаю
175,16,сегодня
176,16,маска
177,16,удалось
178,16,работу
179,16,известно
180,16,сказал
181,16,одна
182,16,университета
183,16,поскольку
184,16,система
185,16,воров
186,16,животных
187,16,передает
188,16,действия
189,16,сразу
190,16,the
191,16,просто
192,16,донбасса
193,16,выпущенные
194,16,состоять
195,15,платежных
196,15,миллионов
197,15,объявила
198,15,зои
199,15,газа
200,15,россиян
201,15,решения
202,15,такое
203,15,мира
204,15,поставок
205,15,цены
206,15,компаний
207,15,начале
208,15,позже
209,15,двух
210,15,стать
211,15,приостановке
212,15,жизни
213,15,молодой
214,15,москве
215,14,речь
216,14,шоу
217,14,белоруссии
218,14,одного
219,14,цен
220,14,сайте
221,14,целью
222,14,сети
223,14,поддержку
224,14,swift
225,14,лидер
226,14,смогут
227,14,главы
228,14,помощью
229,14,свое
230,14,украинский
231,14,этих
232,14,проблемы
233,14,благодаря
234,14,необходимо
235,14,люди
236,14,роль
237,14,ограничения
238,14,европейских
239,14,министр
240,14,должны
241,14,такие
242,14,военного
243,14,добавил
244,14,европы
245,13,многих
246,13,карт
247,13,подчеркнул
248,13,никаких
249,13,прогон
250,13,времени
251,13,человека
252,13,делегации
253,13,канады
254,13,рубежом
255,13,оружие
256,13,сторону
257,13,лентару
258,13,меры
259,13,заявили
260,13,заявлении
